Nomor Rekening,recency,frequency,consistency,avg_interval,std_interval,avg_berat,trend_berat,days_active,churn
BSLH0030,7.0,50.0,0.6452,10.12,6.52,0.692,-0.004,520.0,0
BSLH0031,0.0,54.0,0.4474,9.49,9.29,1.3424,-0.0139,527.0,0
BSLH0032,26.0,43.0,0.5172,11.4,11.64,0.4326,0.0021,502.0,0
BSLH0034,14.0,43.0,0.6296,11.71,6.61,0.7791,-0.001,513.0,0
BSLH0035,33.0,45.0,0.4375,10.75,11.68,0.4129,-0.0012,494.0,0
BSLH0036,1.0,52.0,0.5143,9.9,6.51,0.7715,0.001,527.0,0
BSLH0037,2.0,62.0,0.4651,8.16,11.03,1.2177,-0.0133,526.0,0
BSLH0038,0.0,61.0,0.7222,8.3,7.53,0.9197,-0.0122,527.0,0
BSLH0039,10.0,59.0,0.6216,8.43,6.31,0.9034,-0.0044,518.0,0
BSLH0040,1.0,46.0,0.4688,11.24,6.67,2.037,-0.0852,527.0,0
BSLH0041,17.0,59.0,0.3636,8.34,9.3,1.1737,0.0016,510.0,0
BSLH0042,9.0,46.0,0.5161,10.98,7.33,0.5478,-0.0042,518.0,0
BSLH0043,101.0,38.0,0.4444,11.0,12.23,1.18,-0.0193,426.0,0
BSLH0044,8.0,45.0,0.6429,11.41,9.67,0.9924,-0.0116,519.0,0
BSLH0045,1.0,51.0,0.5294,10.1,6.59,0.7304,0.0003,526.0,0
BSLH0046,19.0,50.0,0.5938,9.84,8.47,0.412,-0.0052,508.0,1
BSLH0047,1.0,73.0,0.451,6.83,5.76,1.0397,-0.0035,526.0,0
BSLH0048,0.0,69.0,0.8421,7.24,4.43,0.9188,-0.0028,527.0,0
BSLH0049,0.0,36.0,0.48,14.54,8.67,0.9756,0.0147,527.0,0
BSLH0050,142.0,42.0,1.5294,9.0,8.84,0.5905,0.0305,386.0,0
BSLH0051,0.0,48.0,0.8148,10.7,5.95,0.9625,-0.0026,527.0,0
BSLH0052,2.0,40.0,1.7333,12.97,10.69,0.2125,-0.0079,525.0,0
BSLH0053,31.0,28.0,0.2609,17.93,24.31,0.9671,-0.0326,496.0,0
BSLH0054,1.0,38.0,0.2581,13.73,13.18,0.5579,-0.0198,527.0,0
BSLH0055,1.0,44.0,0.5,11.79,6.56,1.3909,-0.0256,526.0,0
BSLH0056,0.0,47.0,0.4545,11.02,12.99,1.1281,-0.0085,527.0,1
BSLH0057,0.0,88.0,0.9348,5.72,5.34,1.6023,0.0072,527.0,0
BSLH0058,226.0,25.0,0.1818,12.04,24.58,1.184,-0.1228,302.0,1
BSLH0059,7.0,47.0,0.8462,10.78,7.59,0.717,-0.0126,520.0,0
BSLH0060,9.0,45.0,0.84,11.36,8.27,3.5133,0.0561,518.0,0
BSLH0061,0.0,148.0,0.8171,3.27,3.96,3.1378,0.0254,527.0,0
BSLH0062,177.0,39.0,0.3793,8.74,8.37,1.7692,-0.0435,350.0,1
BSLH0063,0.0,53.0,0.5882,9.71,6.75,2.0453,-0.0544,527.0,0
BSLH0064,12.0,87.0,0.2941,5.51,6.78,0.9968,0.0007,515.0,0
BSLH0065,14.0,60.0,0.8485,8.34,7.41,1.7075,0.0344,513.0,0
BSLH0066,0.0,56.0,1.1923,9.13,5.19,0.3473,0.0012,527.0,0
BSLH0067,0.0,82.0,0.6939,6.1,5.85,2.4359,-0.0929,527.0,0
BSLH0068,0.0,135.0,0.619,3.6,4.85,2.2246,0.0139,527.0,0
BSLH0069,0.0,50.0,0.7586,10.24,5.59,1.096,-0.016,527.0,0
BSLH0070,0.0,43.0,0.6296,12.12,6.48,0.7228,-0.0063,527.0,0
BSLH0071,33.0,50.0,0.5938,9.59,8.75,0.436,-0.0005,494.0,0
BSLH0072,0.0,68.0,0.6829,7.39,5.1,1.1074,-0.0009,527.0,0
BSLH0073,0.0,61.0,0.8788,8.3,6.5,1.4721,0.0201,527.0,0
BSLH0074,0.0,66.0,0.8108,7.68,6.12,1.5136,0.0228,527.0,0
BSLH0075,0.0,96.0,1.3095,5.09,3.13,1.1982,0.016,527.0,0
BSLH0076,0.0,71.0,1.0571,7.01,5.24,0.6648,0.0058,527.0,0
BSLH0077,21.0,42.0,1.3889,11.78,10.8,0.5705,0.01,506.0,0
BSLH0078,17.0,70.0,0.9722,6.99,6.66,1.6226,-0.0266,510.0,0
BSLH0079,0.0,64.0,1.5,7.83,6.87,0.7234,0.0025,527.0,0
BSLH0080,0.0,122.0,0.382,3.93,4.33,1.0877,-0.0046,527.0,0
BSLH0081,194.0,18.0,0.5833,19.24,10.92,1.7344,-0.1896,333.0,1
BSLH0082,2.0,107.0,1.0769,4.53,4.48,1.3738,-0.0006,525.0,0
BSLH0083,0.0,65.0,0.65,7.67,4.77,1.1046,-0.0064,527.0,0
BSLH0084,0.0,41.0,0.6154,12.72,6.07,1.4512,-0.076,527.0,0
BSLH0085,0.0,39.0,0.6667,13.37,5.99,0.9692,-0.0224,527.0,0
BSLH0086,302.0,5.0,0.5,56.25,103.38,3.18,1.47,226.0,1
BSLH0087,8.0,56.0,0.6286,9.05,7.35,0.7357,0.0014,519.0,0
BSLH0088,0.0,72.0,0.9211,6.97,4.68,1.4389,0.0015,527.0,0
BSLH0089,0.0,49.0,0.5625,10.52,5.17,0.5306,-0.0014,527.0,0
BSLH0090,0.0,48.0,0.5312,10.74,5.74,0.5333,-0.0025,527.0,0
BSLH0091,0.0,35.0,0.2414,15.03,21.09,0.6543,-0.0317,526.0,1
BSLH0092,5.0,26.0,1.25,20.4,24.25,0.9038,-0.026,522.0,1
BSLH0093,0.0,55.0,0.8065,9.26,5.63,4.2236,0.0867,526.0,0
BSLH0094,0.0,65.0,0.65,7.7,6.81,1.7846,-0.0334,526.0,0
BSLH0095,31.0,17.0,1.25,29.69,32.42,5.8412,0.6299,481.0,1
BSLH0096,0.0,112.0,1.26,4.38,3.44,1.7812,0.0196,526.0,0
BSLH0097,0.0,54.0,0.4865,9.49,8.06,1.6426,0.0016,526.0,0
BSLH0098,2.0,68.0,0.5682,7.34,6.44,1.0665,-0.0173,525.0,0
BSLH0100,1.0,48.0,0.4412,10.72,6.85,1.0333,-0.0095,525.0,0
BSLH0101,2.0,49.0,0.9231,10.44,5.97,0.5592,0.0012,524.0,0
BSLH0102,0.0,77.0,1.2941,6.47,4.73,0.926,0.0031,526.0,0
BSLH0103,33.0,54.0,0.2791,8.81,16.89,0.913,-0.0136,493.0,1
BSLH0104,2.0,74.0,0.7857,6.67,5.67,1.4932,0.0207,524.0,0
BSLH0105,0.0,86.0,1.2308,5.73,4.56,0.7605,0.0051,526.0,0
BSLH0106,0.0,96.0,1.1556,5.09,4.19,0.851,0.0048,526.0,0
BSLH0107,0.0,77.0,1.0526,6.43,4.53,0.7052,0.0015,526.0,0
BSLH0108,8.0,95.0,0.92,5.05,4.32,0.8242,-0.0042,518.0,0
BSLH0109,2.0,56.0,0.6765,9.0,5.99,1.0964,-0.014,525.0,1
BSLH0110,0.0,51.0,0.6774,9.98,5.77,0.8373,-0.0152,526.0,0
BSLH0111,0.0,113.0,0.52,4.26,3.98,8.9726,0.0789,526.0,0
BSLH0112,54.0,64.0,0.5854,7.08,7.34,1.0891,-0.034,473.0,1
BSLH0113,191.0,16.0,0.3077,21.73,25.58,1.0062,-0.1184,335.0,0
BSLH0114,0.0,39.0,0.7391,13.42,5.94,1.4615,-0.0321,526.0,0
BSLH0115,191.0,28.0,0.381,11.96,13.05,0.6964,-0.0121,335.0,1
BSLH0116,0.0,50.0,0.5455,10.35,6.64,0.99,-0.0109,526.0,0
BSLH0117,0.0,58.0,1.36,8.84,9.39,2.0448,0.0253,526.0,0
BSLH0118,0.0,51.0,1.1667,10.14,9.55,1.6725,0.0527,526.0,0
BSLH0119,0.0,63.0,1.0,8.05,6.59,1.4127,0.0334,526.0,0
BSLH0120,120.0,50.0,0.5,7.8,9.59,0.468,-0.0023,406.0,1
BSLH0121,0.0,48.0,1.1304,10.79,10.33,1.6898,0.0446,526.0,0
BSLH0122,0.0,70.0,0.775,7.2,6.06,1.5029,0.0224,526.0,0
BSLH0123,2.0,69.0,0.7949,7.28,5.57,6.0884,0.0749,524.0,0
BSLH0124,7.0,57.0,0.4872,8.82,7.94,0.8077,-0.008,519.0,1
BSLH0125,45.0,53.0,0.5429,8.77,8.42,1.1566,-0.033,481.0,0
BSLH0126,1.0,48.0,0.4848,10.68,6.73,1.0708,0.0108,525.0,0
BSLH0127,1.0,49.0,0.4706,10.48,6.77,1.5408,-0.0202,525.0,0
BSLH0128,1.0,46.0,0.4688,11.18,6.45,1.1898,0.0064,525.0,0
BSLH0129,1.0,45.0,0.4839,11.48,6.42,1.4449,-0.016,525.0,0
BSLH0130,1.0,72.0,1.2121,6.97,4.09,0.375,0.0017,525.0,0
BSLH0131,1.0,42.0,0.3871,12.29,8.78,0.4524,0.0146,525.0,0
BSLH0132,18.0,32.0,0.5714,15.77,13.15,1.1719,-0.0214,508.0,1
BSLH0133,26.0,60.0,0.9677,8.12,6.4,1.6233,0.035,500.0,0
BSLH0134,3.0,93.0,0.9583,5.29,4.53,1.3914,0.0009,523.0,0
BSLH0135,18.0,43.0,0.4194,11.6,10.6,3.2837,0.0019,506.0,0
BSLH0136,0.0,97.0,0.4848,5.03,4.08,1.5897,-0.01,524.0,0
BSLH0137,2.0,59.0,0.7647,8.52,5.68,0.5593,0.0005,523.0,0
BSLH0138,2.0,64.0,1.0312,7.78,8.8,0.7769,-0.0062,523.0,0
BSLH0139,7.0,45.0,0.84,11.2,6.51,0.5578,-0.0169,518.0,0
BSLH0140,7.0,48.0,0.8148,10.51,6.47,0.4854,-0.0135,518.0,0
BSLH0141,7.0,52.0,0.7667,9.71,6.87,0.475,-0.0122,518.0,0
BSLH0142,7.0,55.0,1.4348,9.02,6.95,0.4564,-0.0058,517.0,0
BSLH0143,7.0,41.0,0.4,12.45,13.55,0.9927,-0.064,517.0,1
BSLH0145,7.0,44.0,0.3636,11.58,13.46,0.9636,-0.0552,517.0,1
BSLH0146,0.0,64.0,1.0312,7.86,4.23,0.4922,-0.0094,524.0,0
BSLH0147,0.0,64.0,1.2414,7.86,4.91,0.4531,-0.0089,524.0,0
BSLH0148,0.0,67.0,1.3448,7.52,4.57,0.6418,-0.0136,524.0,0
BSLH0149,7.0,73.0,0.9474,6.86,6.92,1.4466,-0.0155,518.0,0
BSLH0150,2.0,34.0,1.0588,15.36,11.84,0.6059,-0.0103,523.0,0
BSLH0151,0.0,45.0,0.7037,11.48,5.57,0.6978,0.0056,525.0,0
BSLH0152,0.0,52.0,0.6061,9.86,6.04,1.6385,-0.0369,524.0,0
BSLH0153,0.0,56.0,0.5833,9.16,7.06,2.1518,-0.0202,524.0,0
BSLH0154,10.0,30.0,1.2143,16.83,9.05,0.1933,-0.01,498.0,0
BSLH0155,197.0,4.0,1.5,61.67,106.81,1.025,-0.09,185.0,1
BSLH0156,7.0,44.0,0.5,11.51,10.73,0.5264,-0.006,515.0,1
BSLH0157,18.0,28.0,0.45,18.26,14.96,1.5979,-0.0739,504.0,0
BSLH0158,1.0,44.0,0.5,11.63,6.79,1.0432,0.03,521.0,0
BSLH0159,14.0,44.0,0.6071,11.35,7.59,0.8705,0.0032,507.0,0
BSLH0160,44.0,6.0,0.75,56.2,121.79,5.9667,0.6971,281.0,1
BSLH0161,1.0,49.0,0.4286,10.4,7.03,0.9551,-0.0102,521.0,0
BSLH0162,246.0,24.0,0.6667,11.61,10.19,3.15,-0.1186,276.0,1
BSLH0163,0.0,20.0,1.1,19.89,19.03,0.755,-0.0508,386.0,0
BSLH0164,0.0,61.0,1.2143,8.22,4.25,0.459,-0.009,521.0,0
BSLH0165,0.0,67.0,1.2667,7.45,3.46,0.5299,-0.0111,521.0,0
BSLH0166,12.0,63.0,0.7778,7.89,6.76,0.4213,-0.0065,515.0,0
BSLH0167,2.0,77.0,1.0,6.45,4.63,0.7831,0.0064,519.0,0
BSLH0168,54.0,24.0,0.7857,19.83,13.98,0.9583,-0.0002,468.0,1
BSLH0169,15.0,50.0,0.8214,9.86,8.24,0.708,-0.0151,506.0,1
BSLH0170,0.0,113.0,1.5333,4.29,5.25,2.2542,0.009,520.0,0
BSLH0171,2.0,75.0,0.9,6.55,4.23,1.0333,-0.0049,518.0,0
BSLH0172,8.0,47.0,1.1818,10.72,11.02,1.3021,0.0331,513.0,0
BSLH0173,57.0,48.0,0.2895,9.34,16.71,0.8604,0.0079,464.0,0
BSLH0174,2.0,77.0,0.7333,6.38,5.34,2.0519,-0.0147,519.0,1
BSLH0175,3.0,69.0,0.7949,7.03,3.84,1.2014,-0.0153,512.0,0
BSLH0176,54.0,23.0,0.6,20.5,12.94,0.8348,0.033,461.0,1
BSLH0177,17.0,56.0,0.5,8.56,9.32,1.2643,-0.004,498.0,0
BSLH0178,87.0,50.0,0.5455,8.2,7.34,0.976,-0.0009,428.0,1
BSLH0179,170.0,49.0,0.3889,6.69,6.42,1.0755,0.008,345.0,1
BSLH0180,14.0,44.0,0.6071,11.09,7.64,1.8068,0.0178,500.0,0
BSLH0181,2.0,94.0,0.7593,5.06,4.44,1.4947,0.0013,512.0,0
BSLH0182,2.0,68.0,0.6047,7.18,4.99,1.0485,-0.0116,512.0,0
BSLH0183,2.0,65.0,0.5349,7.58,5.39,1.24,-0.0242,512.0,0
BSLH0184,2.0,132.0,0.5833,3.52,4.09,1.3121,-0.0057,512.0,0
BSLH0185,248.0,35.0,0.5,7.29,4.9,1.0629,0.003,266.0,1
BSLH0186,2.0,136.0,0.6118,3.37,3.78,1.3147,-0.0024,512.0,0
BSLH0187,0.0,38.0,0.56,13.41,6.39,0.7342,-0.0163,515.0,0
BSLH0188,14.0,42.0,0.5357,11.71,7.91,1.3929,0.0005,496.0,0
BSLH0189,178.0,33.0,0.619,10.0,8.84,0.6121,-0.0103,333.0,1
BSLH0190,18.0,22.0,0.5333,22.86,14.28,1.5909,-0.0912,489.0,1
BSLH0191,17.0,80.0,0.3966,5.72,7.34,1.2875,-0.0036,490.0,0
BSLH0192,92.0,73.0,0.5102,5.38,5.66,2.8849,-0.0097,414.0,1
BSLH0193,0.0,59.0,0.7143,8.33,6.34,2.7339,0.0458,505.0,0
BSLH0194,18.0,22.0,0.4375,22.62,14.07,1.8136,-0.0728,486.0,1
BSLH0195,18.0,33.0,0.36,14.0,14.43,1.4515,-0.0214,464.0,1
BSLH0196,8.0,48.0,0.6333,9.62,5.46,2.7562,0.0449,476.0,1
BSLH0197,282.0,18.0,1.1111,11.18,7.11,1.2167,-0.0313,202.0,1
BSLH0198,282.0,17.0,1.0,12.0,7.07,1.1,-0.0186,202.0,1
BSLH0199,10.0,34.0,0.75,13.91,12.7,1.8294,0.0424,474.0,0
BSLH0200,80.0,53.0,0.8,7.25,3.31,1.3491,-0.0091,404.0,0
BSLH0201,73.0,50.0,0.4167,7.88,6.14,1.496,-0.01,411.0,1
BSLH0202,280.0,21.0,0.8333,9.8,8.04,1.2524,-0.0249,203.0,1
BSLH0203,57.0,3.0,0.3333,213.5,243.95,1.2,0.7,427.0,1
BSLH0204,0.0,29.0,0.3043,16.86,13.95,0.8966,-0.0646,483.0,1
BSLH0205,191.0,14.0,0.25,22.0,36.38,1.7714,-0.0387,293.0,1
BSLH0206,212.0,23.0,0.5,11.91,7.27,0.8,0.0135,272.0,1
BSLH0207,46.0,35.0,0.1613,12.47,29.42,1.0543,-0.0109,437.0,1
BSLH0208,421.0,7.0,0.3333,10.17,7.83,1.4571,-0.1571,63.0,1
BSLH0209,95.0,44.0,0.3636,8.56,11.77,1.2409,-0.0158,389.0,1
BSLH0210,2.0,83.0,1.1,5.45,4.57,2.3229,-0.0139,482.0,0
BSLH0211,123.0,55.0,1.3333,6.2,3.99,1.1091,-0.009,360.0,1
BSLH0212,182.0,21.0,0.5714,14.7,11.81,1.3714,-0.0619,301.0,1
BSLH0213,2.0,79.0,0.8605,5.81,4.09,2.8266,-0.0086,482.0,0
BSLH0215,3.0,94.0,0.4394,4.82,4.25,1.4181,-0.0029,481.0,0
BSLH0216,10.0,33.0,0.4167,14.25,14.35,1.4909,0.0115,474.0,0
BSLH0217,2.0,41.0,0.5,11.32,6.99,0.3976,0.008,471.0,0
BSLH0218,0.0,64.0,0.7568,7.22,5.0,1.4141,-0.0126,483.0,1
BSLH0220,17.0,54.0,0.7742,8.28,5.54,2.3056,0.0046,467.0,1
BSLH0221,248.0,27.0,0.5556,8.46,4.86,1.2519,0.0175,235.0,1
BSLH0222,170.0,2.0,0.5,279.0,0.0,2.35,4.1,279.0,1
BSLH0223,248.0,32.0,0.5,7.06,5.32,1.5188,0.0138,235.0,1
BSLH0224,14.0,55.0,0.5135,8.19,6.57,1.2,0.0076,469.0,0
BSLH0225,87.0,37.0,0.2667,10.53,11.96,1.4946,-0.027,397.0,1
BSLH0226,87.0,37.0,0.2258,10.53,16.13,1.5811,-0.0364,397.0,1
BSLH0227,154.0,49.0,1.0,6.35,3.56,1.9265,0.0214,329.0,1
BSLH0228,157.0,42.0,0.7917,7.37,5.03,1.4357,-0.0423,327.0,1
BSLH0229,157.0,37.0,0.6522,8.47,6.47,1.2351,-0.0132,327.0,1
BSLH0230,134.0,35.0,0.3333,9.88,9.88,0.7143,-0.0263,349.0,1
BSLH0231,134.0,34.0,0.3462,10.15,9.94,0.6735,-0.0213,349.0,1
BSLH0232,134.0,35.0,0.3846,9.85,9.12,0.6371,-0.018,351.0,1
BSLH0233,231.0,42.0,0.5926,5.8,5.21,0.8429,-0.0294,254.0,1
BSLH0234,178.0,33.0,0.5455,9.09,7.01,0.6273,-0.0144,306.0,1
BSLH0235,10.0,54.0,0.4865,8.47,6.7,1.4537,0.0003,474.0,0
BSLH0236,0.0,40.0,0.3226,11.87,11.04,0.3525,-0.0093,483.0,1
BSLH0237,10.0,15.0,0.1429,33.36,70.72,1.9333,-0.1089,474.0,1
BSLH0238,248.0,19.0,0.3333,12.61,9.13,0.5737,0.0042,235.0,1
BSLH0239,194.0,28.0,0.381,10.11,9.99,1.3357,-0.0025,290.0,1
BSLH0240,33.0,40.0,0.2812,11.1,13.16,3.3675,-0.1362,451.0,0
BSLH0241,248.0,27.0,0.5556,8.42,4.88,1.2593,-0.0508,235.0,1
BSLH0242,248.0,25.0,0.625,9.21,5.1,1.424,-0.0025,235.0,1
BSLH0243,248.0,18.0,1.1111,13.35,6.59,0.8056,0.0152,235.0,1
BSLH0244,248.0,21.0,0.4667,11.15,9.97,0.6286,0.0192,235.0,1
BSLH0245,152.0,28.0,0.2083,11.67,17.52,1.2679,-0.007,332.0,1
BSLH0246,247.0,33.0,1.125,6.91,4.01,1.1242,-0.0172,237.0,1
BSLH0247,248.0,24.0,0.5625,9.57,5.88,1.2583,0.038,235.0,1
BSLH0248,248.0,27.0,0.5556,8.42,4.88,1.3111,-0.0081,235.0,1
BSLH0249,248.0,27.0,0.5556,8.42,4.88,1.0667,-0.0093,235.0,1
BSLH0250,248.0,27.0,0.5556,8.46,5.12,1.437,-0.0079,235.0,1
BSLH0251,248.0,26.0,0.5,8.8,5.0,1.3038,-0.0359,235.0,1
BSLH0252,248.0,27.0,0.5556,8.42,4.88,0.9926,-0.0169,235.0,1
BSLH0253,274.0,26.0,0.5882,7.76,3.59,1.0808,0.0234,210.0,1
BSLH0254,248.0,16.0,0.4167,15.07,10.94,1.3938,0.0519,235.0,1
BSLH0255,0.0,72.0,0.3519,6.54,12.14,2.4458,0.0352,483.0,1
BSLH0256,8.0,49.0,0.6129,9.44,5.43,2.3633,0.0329,476.0,1
BSLH0257,106.0,38.0,0.4444,9.81,9.1,0.9895,0.0109,377.0,1
BSLH0258,84.0,29.0,0.3636,13.68,11.08,0.3552,-0.0233,399.0,1
BSLH0259,52.0,74.0,0.5,5.49,4.93,2.7284,0.0206,432.0,0
BSLH0260,0.0,45.0,0.6429,10.48,9.75,2.2267,0.0085,483.0,0
BSLH0261,0.0,40.0,0.3667,11.9,10.99,0.32,-0.0112,483.0,1
BSLH0262,84.0,39.0,0.6667,10.03,7.48,0.7026,-0.0012,399.0,1
BSLH0263,155.0,40.0,0.5185,8.1,8.52,0.9425,0.0044,328.0,1
BSLH0264,54.0,25.0,0.625,17.42,12.24,1.064,-0.0524,430.0,1
BSLH0265,0.0,9.0,0.6667,18.62,13.63,1.0111,0.2683,153.0,0
BSLH0266,248.0,34.0,0.4583,6.64,5.47,1.2,-0.0277,235.0,1
BSLH0267,248.0,32.0,0.4348,7.1,5.76,0.9125,0.0054,235.0,1
BSLH0268,248.0,25.0,0.5294,8.96,5.08,0.832,-0.0045,231.0,1
BSLH0269,248.0,26.0,0.5,8.76,7.95,0.5808,0.0119,235.0,1
BSLH0270,14.0,61.0,0.6757,7.38,5.6,1.9246,0.0186,469.0,0
BSLH0271,224.0,30.0,0.7222,8.48,7.45,1.0367,0.0343,259.0,1
BSLH0272,248.0,25.0,0.5294,9.17,8.13,0.748,0.0181,235.0,1
BSLH0273,17.0,25.0,0.1304,19.04,32.56,0.788,0.0283,467.0,1
BSLH0274,244.0,8.0,0.2857,34.0,33.26,0.625,-0.0762,240.0,1
BSLH0275,10.0,45.0,0.5333,10.57,11.14,1.5756,-0.017,487.0,1
BSLH0276,225.0,9.0,0.6667,32.12,28.89,1.5778,-0.11,261.0,1
BSLH0277,337.0,18.0,0.5833,8.24,3.36,2.1389,0.1097,148.0,1
BSLH0278,337.0,18.0,0.5833,8.24,3.4,2.2444,0.1501,148.0,1
BSLH0279,2.0,55.0,0.75,8.52,4.86,1.4964,0.0108,484.0,0
BSLH0280,129.0,39.0,0.4815,8.87,6.46,1.7949,-0.0102,357.0,1
BSLH0281,282.0,17.0,0.8,12.12,8.54,1.1353,-0.0262,204.0,1
BSLH0282,92.0,40.0,0.7826,9.72,11.39,1.7825,0.0075,393.0,1
BSLH0283,190.0,20.0,0.6154,14.95,10.59,1.075,-0.0641,295.0,1
BSLH0287,486.0,2.0,0.5,0.0,0.0,0.6,-0.8,0.0,1
BSLH0289,184.0,10.0,1.2,33.11,37.87,1.52,-0.0121,302.0,1
BSLH0291,247.0,27.0,0.4,8.69,8.29,1.0741,-0.0015,239.0,1
BSLH0292,0.0,68.0,0.8158,6.78,3.39,1.5382,-0.0059,485.0,0
BSLH0293,14.0,72.0,0.4898,6.24,6.04,4.1347,-0.005,471.0,1
BSLH0295,248.0,13.0,0.4,19.25,14.69,1.0615,-0.0863,238.0,1
BSLH0296,486.0,2.0,0.5,0.0,0.0,1.1,-1.8,0.0,1
BSLH0297,106.0,44.0,0.6071,8.28,7.32,0.5477,-0.014,379.0,1
BSLH0298,106.0,24.0,0.7857,16.0,14.23,1.0167,-0.0589,379.0,1
BSLH0299,106.0,38.0,0.56,9.7,11.42,0.8421,-0.0494,379.0,1
BSLH0300,0.0,66.0,0.9143,6.98,4.09,1.6409,-0.0113,485.0,0
BSLH0301,134.0,37.0,0.4615,9.33,8.73,0.6351,0.0017,351.0,1
BSLH0302,0.0,73.0,0.7619,6.28,3.91,1.4877,-0.003,485.0,0
BSLH0303,213.0,16.0,0.4167,17.67,15.94,2.05,-0.15,273.0,1
BSLH0304,334.0,4.0,0.25,50.0,68.51,0.725,0.07,151.0,1
BSLH0306,471.0,3.0,0.3333,7.0,1.41,1.0,-0.2,14.0,1
BSLH0307,213.0,17.0,0.3846,16.5,16.06,1.2824,0.0485,273.0,1
BSLH0308,17.0,60.0,0.3864,7.51,7.19,2.0583,-0.0121,468.0,0
BSLH0309,248.0,8.0,0.2857,33.57,36.41,1.8125,-0.0798,238.0,1
BSLH0310,31.0,23.0,0.4118,20.14,13.32,1.2435,-0.0554,454.0,1
BSLH0311,31.0,23.0,0.3333,20.14,17.09,1.3,-0.0666,454.0,1
BSLH0312,333.0,8.0,0.8,21.43,11.87,0.6875,-0.0226,153.0,1
BSLH0313,334.0,6.0,0.4,29.8,25.26,2.1167,-0.3514,151.0,1
BSLH0314,232.0,26.0,0.4211,9.64,9.36,1.2923,-0.0366,254.0,1
BSLH0315,247.0,14.0,0.1538,17.77,23.63,1.5214,-0.0538,239.0,1
BSLH0316,178.0,19.0,0.6667,16.72,15.78,0.9316,-0.0804,308.0,1
BSLH0317,134.0,35.0,0.3846,9.94,9.91,0.6343,-0.018,351.0,1
BSLH0318,261.0,29.0,0.6667,7.61,8.08,1.4103,0.0061,224.0,1
BSLH0319,98.0,42.0,0.4828,8.95,7.79,1.3929,-0.0053,387.0,1
BSLH0320,274.0,16.0,1.125,13.67,13.02,0.325,-0.0156,211.0,1
BSLH0321,80.0,36.0,0.4231,11.03,18.06,1.3083,-0.0263,405.0,1
BSLH0322,260.0,26.0,0.5882,8.48,9.61,1.5962,-0.0264,225.0,1
BSLH0323,156.0,45.0,0.84,7.05,3.51,1.4133,0.0182,329.0,1
BSLH0324,14.0,52.0,0.5143,8.73,5.82,1.5538,-0.0173,471.0,0
BSLH0325,99.0,27.0,0.2174,14.46,23.38,1.2259,0.0236,386.0,1
BSLH0326,344.0,8.0,0.5,19.71,8.75,0.6875,0.0464,141.0,1
BSLH0327,281.0,8.0,0.2857,28.71,19.78,0.7375,0.0702,204.0,1
